case_id,scenario,expected_policy_action,expected_stop_condition,high_value,within_recovery_window,attempts,successful_payments,has_contact_method
RC_000027,GATEWAY_FAILURE,CREATE_PAYMENT_LINK,,true,true,0,3,true
RC_000028,RISK_REJECTION,STOP,RISK_REJECTED,false,true,1,20,true
RC_000029,TIMEOUT,STOP,RECOVERY_WINDOW_EXPIRED,false,false,2,12,true
RC_000030,INVALID_PAYMENT_DETAILS,STOP,RECOVERY_WINDOW_EXPIRED,false,false,3,3,true
RC_000031,BANK_DECLINE,STOP,RECOVERY_WINDOW_EXPIRED,false,false,0,3,true
RC_000032,AUTHENTICATION_FAILURE,CREATE_PAYMENT_LINK,,true,true,0,8,true
RC_000033,AUTHENTICATION_FAILURE,CREATE_PAYMENT_LINK,,true,true,2,8,true
RC_000034,AUTHENTICATION_FAILURE,CREATE_PAYMENT_LINK,,false,true,0,3,true
RC_000035,AUTHENTICATION_FAILURE,STOP,MAX_RECOVERY_ATTEMPTS_REACHED,false,true,3,3,true
RC_000036,TIMEOUT,STOP,RECOVERY_WINDOW_EXPIRED,true,false,0,5,true
RC_000037,INSUFFICIENT_FUNDS,CREATE_PAYMENT_LINK,,true,true,0,5,true
RC_000038,TIMEOUT,CREATE_PAYMENT_LINK,,true,true,0,12,true
RC_000039,TIMEOUT,STOP,RECOVERY_WINDOW_EXPIRED,false,false,0,5,true
RC_000040,TIMEOUT,CREATE_PAYMENT_LINK,,false,true,1,5,true
RC_000041,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,0,20,true
RC_000042,CUSTOMER_ABANDONMENT,STOP,MAX_RECOVERY_ATTEMPTS_REACHED,true,true,3,3,true
RC_000043,TIMEOUT,CREATE_PAYMENT_LINK,,false,true,0,20,true
RC_000044,BANK_DECLINE,CREATE_PAYMENT_LINK,,true,true,1,8,true
RC_000045,AUTHENTICATION_FAILURE,STOP,MAX_RECOVERY_ATTEMPTS_REACHED,false,true,3,12,true
RC_000046,BANK_DECLINE,STOP,RECOVERY_WINDOW_EXPIRED,false,false,0,5,true
RC_000047,INVALID_PAYMENT_DETAILS,STOP,MAX_RECOVERY_ATTEMPTS_REACHED,true,true,3,1,true
RC_000048,INVALID_PAYMENT_DETAILS,STOP,RECOVERY_WINDOW_EXPIRED,false,false,0,30,true
RC_000049,TIMEOUT,CREATE_PAYMENT_LINK,,true,true,1,2,true
RC_000050,GATEWAY_FAILURE,CREATE_PAYMENT_LINK,,false,true,0,0,true
RC_000051,INSUFFICIENT_FUNDS,CREATE_PAYMENT_LINK,,false,true,0,20,true
RC_000052,BANK_DECLINE,CREATE_PAYMENT_LINK,,true,true,1,3,true
RC_000053,TIMEOUT,CREATE_PAYMENT_LINK,,true,true,0,20,true
RC_000054,INSUFFICIENT_FUNDS,STOP,RECOVERY_WINDOW_EXPIRED,false,false,0,3,true
RC_000055,TIMEOUT,CREATE_PAYMENT_LINK,,true,true,0,3,true
RC_000056,GATEWAY_FAILURE,CREATE_PAYMENT_LINK,,false,true,0,5,true
RC_000057,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,0,20,true
RC_000058,INSUFFICIENT_FUNDS,STOP,RECOVERY_WINDOW_EXPIRED,false,false,3,5,true
RC_000059,TIMEOUT,STOP,RECOVERY_WINDOW_EXPIRED,false,false,0,5,true
RC_000060,TIMEOUT,CREATE_PAYMENT_LINK,,true,true,0,5,true
RC_000061,BANK_DECLINE,STOP,RECOVERY_WINDOW_EXPIRED,true,false,0,0,true
RC_000062,BANK_DECLINE,STOP,RECOVERY_WINDOW_EXPIRED,false,false,0,12,true
RC_000063,INVALID_PAYMENT_DETAILS,STOP,RECOVERY_WINDOW_EXPIRED,true,false,0,8,true
RC_000064,BANK_DECLINE,STOP,RECOVERY_WINDOW_EXPIRED,true,false,0,0,true
RC_000065,TIMEOUT,CREATE_PAYMENT_LINK,,false,true,0,3,true
RC_000066,TIMEOUT,CREATE_PAYMENT_LINK,,false,true,0,3,true
RC_000067,AUTHENTICATION_FAILURE,CREATE_PAYMENT_LINK,,false,true,1,12,true
RC_000068,INVALID_PAYMENT_DETAILS,CREATE_PAYMENT_LINK,,false,true,0,2,true
RC_000069,AUTHENTICATION_FAILURE,STOP,RECOVERY_WINDOW_EXPIRED,false,false,0,5,true
RC_000070,RISK_REJECTION,STOP,RISK_REJECTED,false,true,2,30,true
RC_000071,INSUFFICIENT_FUNDS,STOP,RECOVERY_WINDOW_EXPIRED,true,false,0,5,true
RC_000072,UNKNOWN,CREATE_PAYMENT_LINK,,false,true,1,8,true
RC_000073,CUSTOMER_ABANDONMENT,STOP,RECOVERY_WINDOW_EXPIRED,false,false,0,8,true
RC_000074,TIMEOUT,STOP,MAX_RECOVERY_ATTEMPTS_REACHED,false,true,3,12,true
RC_000075,AUTHENTICATION_FAILURE,STOP,RECOVERY_WINDOW_EXPIRED,false,false,0,8,true
RC_000076,BANK_DECLINE,CREATE_PAYMENT_LINK,,true,true,0,20,true
RC_000077,AUTHENTICATION_FAILURE,CREATE_PAYMENT_LINK,,true,true,1,0,true
RC_000078,AUTHENTICATION_FAILURE,STOP,RECOVERY_WINDOW_EXPIRED,true,false,1,5,true
RC_000079,AUTHENTICATION_FAILURE,STOP,RECOVERY_WINDOW_EXPIRED,false,false,0,30,true
RC_000080,AUTHENTICATION_FAILURE,CREATE_PAYMENT_LINK,,false,true,2,2,true
RC_000081,INVALID_PAYMENT_DETAILS,CREATE_PAYMENT_LINK,,true,true,1,5,true
RC_000082,GATEWAY_FAILURE,CREATE_PAYMENT_LINK,,false,true,0,0,true
RC_000083,TIMEOUT,CREATE_PAYMENT_LINK,,true,true,0,12,true
RC_000084,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,0,8,true
RC_000085,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,0,5,true
RC_000086,UNKNOWN,STOP,RECOVERY_WINDOW_EXPIRED,false,false,0,8,false
RC_000087,CUSTOMER_ABANDONMENT,STOP,MAX_RECOVERY_ATTEMPTS_REACHED,true,true,3,8,true
RC_000088,UNKNOWN,CREATE_PAYMENT_LINK,,false,true,0,2,true
RC_000089,BANK_DECLINE,STOP,RECOVERY_WINDOW_EXPIRED,true,false,2,5,true
RC_000090,TIMEOUT,STOP,RECOVERY_WINDOW_EXPIRED,true,false,0,5,true
RC_000091,TIMEOUT,STOP,NO_CONTACT_METHOD,false,true,0,1,false
RC_000092,AUTHENTICATION_FAILURE,CREATE_PAYMENT_LINK,,false,true,2,0,true
RC_000093,INVALID_PAYMENT_DETAILS,CREATE_PAYMENT_LINK,,false,true,0,30,true
RC_000094,UNKNOWN,CREATE_PAYMENT_LINK,,false,true,0,2,true
RC_000095,CUSTOMER_ABANDONMENT,CREATE_PAYMENT_LINK,,false,true,1,12,true
RC_000096,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,1,2,true
RC_000097,CUSTOMER_ABANDONMENT,STOP,RECOVERY_WINDOW_EXPIRED,true,false,1,20,true
RC_000098,CUSTOMER_ABANDONMENT,CREATE_PAYMENT_LINK,,false,true,0,1,true
RC_000099,RISK_REJECTION,STOP,RISK_REJECTED,true,true,1,12,true
RC_000100,BANK_DECLINE,CREATE_PAYMENT_LINK,,true,true,0,0,true
RC_000101,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,0,3,true
RC_000102,INSUFFICIENT_FUNDS,CREATE_PAYMENT_LINK,,false,true,1,3,true
RC_000103,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,0,3,true
RC_000104,INVALID_PAYMENT_DETAILS,STOP,RECOVERY_WINDOW_EXPIRED,false,false,0,1,true
RC_000105,AUTHENTICATION_FAILURE,CREATE_PAYMENT_LINK,,false,true,0,12,true
RC_000106,INSUFFICIENT_FUNDS,STOP,RECOVERY_WINDOW_EXPIRED,false,false,1,20,true
RC_000107,TIMEOUT,CREATE_PAYMENT_LINK,,false,true,0,0,true
RC_000108,AUTHENTICATION_FAILURE,CREATE_PAYMENT_LINK,,true,true,2,8,true
RC_000109,AUTHENTICATION_FAILURE,CREATE_PAYMENT_LINK,,true,true,0,3,true
RC_000110,UNKNOWN,STOP,LOW_CONFIDENCE,false,true,0,0,true
RC_000111,RISK_REJECTION,STOP,RISK_REJECTED,false,false,0,5,true
RC_000112,GATEWAY_FAILURE,CREATE_PAYMENT_LINK,,false,true,0,8,true
RC_000113,GATEWAY_FAILURE,CREATE_PAYMENT_LINK,,true,true,1,8,true
RC_000114,GATEWAY_FAILURE,CREATE_PAYMENT_LINK,,false,true,2,8,true
RC_000115,BANK_DECLINE,STOP,MAX_RECOVERY_ATTEMPTS_REACHED,false,true,3,8,true
RC_000116,INSUFFICIENT_FUNDS,CREATE_PAYMENT_LINK,,true,true,0,12,true
RC_000117,AUTHENTICATION_FAILURE,CREATE_PAYMENT_LINK,,true,true,1,8,true
RC_000118,GATEWAY_FAILURE,CREATE_PAYMENT_LINK,,true,true,0,3,true
RC_000119,GATEWAY_FAILURE,STOP,RECOVERY_WINDOW_EXPIRED,true,false,0,30,true
RC_000120,CUSTOMER_ABANDONMENT,STOP,MAX_RECOVERY_ATTEMPTS_REACHED,false,true,3,12,true
RC_000121,BANK_DECLINE,STOP,RECOVERY_WINDOW_EXPIRED,false,false,2,3,true
RC_000122,BANK_DECLINE,CREATE_PAYMENT_LINK,,true,true,0,1,true
RC_000123,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,0,12,true
RC_000124,INSUFFICIENT_FUNDS,CREATE_PAYMENT_LINK,,true,true,0,0,true
RC_000125,BANK_DECLINE,STOP,RECOVERY_WINDOW_EXPIRED,false,false,0,3,true
RC_000126,INVALID_PAYMENT_DETAILS,CREATE_PAYMENT_LINK,,false,true,0,8,true
RC_000127,BANK_DECLINE,CREATE_PAYMENT_LINK,,true,true,0,8,true
RC_000128,GATEWAY_FAILURE,CREATE_PAYMENT_LINK,,true,true,2,20,true
RC_000129,RISK_REJECTION,STOP,RISK_REJECTED,false,true,0,12,true
RC_000130,INSUFFICIENT_FUNDS,CREATE_PAYMENT_LINK,,false,true,0,8,true
RC_000131,CUSTOMER_ABANDONMENT,STOP,MAX_RECOVERY_ATTEMPTS_REACHED,true,true,3,1,true
RC_000132,BANK_DECLINE,CREATE_PAYMENT_LINK,,true,true,0,3,true
RC_000133,AUTHENTICATION_FAILURE,CREATE_PAYMENT_LINK,,false,true,0,20,true
RC_000134,CUSTOMER_ABANDONMENT,CREATE_PAYMENT_LINK,,false,true,0,30,true
RC_000135,INVALID_PAYMENT_DETAILS,CREATE_PAYMENT_LINK,,false,true,0,2,true
RC_000136,TIMEOUT,STOP,RECOVERY_WINDOW_EXPIRED,false,false,2,12,true
RC_000137,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,1,3,true
RC_000138,BANK_DECLINE,STOP,RECOVERY_WINDOW_EXPIRED,false,false,2,3,true
RC_000139,BANK_DECLINE,STOP,MAX_RECOVERY_ATTEMPTS_REACHED,false,true,3,30,true
RC_000140,INSUFFICIENT_FUNDS,CREATE_PAYMENT_LINK,,false,true,0,20,true
RC_000141,CUSTOMER_ABANDONMENT,STOP,MAX_RECOVERY_ATTEMPTS_REACHED,true,true,3,1,true
RC_000142,INSUFFICIENT_FUNDS,CREATE_PAYMENT_LINK,,false,true,2,8,true
RC_000143,GATEWAY_FAILURE,STOP,MAX_RECOVERY_ATTEMPTS_REACHED,false,true,3,8,true
RC_000144,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,0,8,true
RC_000145,INSUFFICIENT_FUNDS,CREATE_PAYMENT_LINK,,false,true,0,2,true
RC_000146,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,1,0,true
RC_000147,TIMEOUT,CREATE_PAYMENT_LINK,,true,true,0,5,true
RC_000148,GATEWAY_FAILURE,STOP,RECOVERY_WINDOW_EXPIRED,true,false,0,5,true
RC_000149,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,0,8,true
RC_000150,INSUFFICIENT_FUNDS,CREATE_PAYMENT_LINK,,false,true,0,3,true
RC_000151,CUSTOMER_ABANDONMENT,STOP,MAX_RECOVERY_ATTEMPTS_REACHED,true,true,3,1,true
RC_000152,TIMEOUT,CREATE_PAYMENT_LINK,,false,true,0,0,true
RC_000153,TIMEOUT,CREATE_PAYMENT_LINK,,false,true,0,3,true
RC_000154,GATEWAY_FAILURE,STOP,MAX_RECOVERY_ATTEMPTS_REACHED,false,true,3,5,true
RC_000155,INVALID_PAYMENT_DETAILS,STOP,MAX_RECOVERY_ATTEMPTS_REACHED,false,true,3,20,true
RC_000156,RISK_REJECTION,STOP,RISK_REJECTED,true,true,3,8,true
RC_000157,GATEWAY_FAILURE,CREATE_PAYMENT_LINK,,false,true,1,8,true
RC_000158,GATEWAY_FAILURE,CREATE_PAYMENT_LINK,,false,true,0,20,true
RC_000159,BANK_DECLINE,STOP,MAX_RECOVERY_ATTEMPTS_REACHED,false,true,3,3,true
RC_000160,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,0,5,true
RC_000161,AUTHENTICATION_FAILURE,STOP,RECOVERY_WINDOW_EXPIRED,true,false,0,2,true
RC_000162,INVALID_PAYMENT_DETAILS,CREATE_PAYMENT_LINK,,false,true,1,12,true
RC_000163,INVALID_PAYMENT_DETAILS,CREATE_PAYMENT_LINK,,false,true,0,20,true
RC_000164,BANK_DECLINE,CREATE_PAYMENT_LINK,,true,true,1,8,true
RC_000165,INVALID_PAYMENT_DETAILS,CREATE_PAYMENT_LINK,,true,true,0,8,true
RC_000166,AUTHENTICATION_FAILURE,CREATE_PAYMENT_LINK,,false,true,1,8,true
RC_000167,INSUFFICIENT_FUNDS,CREATE_PAYMENT_LINK,,false,true,0,8,true
RC_000168,TIMEOUT,CREATE_PAYMENT_LINK,,false,true,0,2,true
RC_000169,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,0,3,true
RC_000170,BANK_DECLINE,CREATE_PAYMENT_LINK,,true,true,2,30,true
RC_000171,INVALID_PAYMENT_DETAILS,STOP,RECOVERY_WINDOW_EXPIRED,false,false,0,3,true
RC_000172,INVALID_PAYMENT_DETAILS,STOP,RECOVERY_WINDOW_EXPIRED,false,false,0,12,true
RC_000173,AUTHENTICATION_FAILURE,CREATE_PAYMENT_LINK,,true,true,0,20,true
RC_000174,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,0,8,true
RC_000175,UNKNOWN,CREATE_PAYMENT_LINK,,false,true,0,8,true
RC_000176,RISK_REJECTION,STOP,RISK_REJECTED,true,true,0,5,true
RC_000177,GATEWAY_FAILURE,STOP,RECOVERY_WINDOW_EXPIRED,true,false,0,3,true
RC_000178,AUTHENTICATION_FAILURE,CREATE_PAYMENT_LINK,,false,true,0,3,true
RC_000179,TIMEOUT,STOP,MAX_RECOVERY_ATTEMPTS_REACHED,false,true,3,5,true
RC_000180,TIMEOUT,STOP,RECOVERY_WINDOW_EXPIRED,false,false,0,2,true
RC_000181,AUTHENTICATION_FAILURE,CREATE_PAYMENT_LINK,,true,true,0,8,true
RC_000182,INSUFFICIENT_FUNDS,CREATE_PAYMENT_LINK,,true,true,0,0,true
RC_000183,TIMEOUT,CREATE_PAYMENT_LINK,,false,true,1,2,true
RC_000184,RISK_REJECTION,STOP,RISK_REJECTED,false,false,1,5,true
RC_000185,AUTHENTICATION_FAILURE,CREATE_PAYMENT_LINK,,false,true,0,8,true
RC_000186,INSUFFICIENT_FUNDS,STOP,RECOVERY_WINDOW_EXPIRED,true,false,3,0,true
RC_000187,GATEWAY_FAILURE,STOP,RECOVERY_WINDOW_EXPIRED,false,false,0,1,true
RC_000188,INVALID_PAYMENT_DETAILS,CREATE_PAYMENT_LINK,,false,true,0,2,true
RC_000189,INSUFFICIENT_FUNDS,CREATE_PAYMENT_LINK,,false,true,2,1,true
RC_000190,INVALID_PAYMENT_DETAILS,STOP,RECOVERY_WINDOW_EXPIRED,false,false,1,20,true
RC_000191,CUSTOMER_ABANDONMENT,CREATE_PAYMENT_LINK,,false,true,0,1,true
RC_000192,TIMEOUT,STOP,RECOVERY_WINDOW_EXPIRED,true,false,0,0,true
RC_000193,INVALID_PAYMENT_DETAILS,CREATE_PAYMENT_LINK,,true,true,1,5,true
RC_000194,AUTHENTICATION_FAILURE,CREATE_PAYMENT_LINK,,false,true,0,2,true
RC_000195,AUTHENTICATION_FAILURE,CREATE_PAYMENT_LINK,,false,true,1,1,true
RC_000196,CUSTOMER_ABANDONMENT,CREATE_PAYMENT_LINK,,false,true,0,2,true
RC_000197,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,1,0,true
RC_000198,TIMEOUT,CREATE_PAYMENT_LINK,,false,true,2,3,true
RC_000199,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,1,3,true
RC_000200,INSUFFICIENT_FUNDS,CREATE_PAYMENT_LINK,,true,true,0,3,true
RC_000201,TIMEOUT,CREATE_PAYMENT_LINK,,false,true,0,3,true
RC_000202,INSUFFICIENT_FUNDS,CREATE_PAYMENT_LINK,,false,true,2,3,true
RC_000203,INVALID_PAYMENT_DETAILS,CREATE_PAYMENT_LINK,,false,true,0,5,true
RC_000204,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,0,30,true
RC_000205,RISK_REJECTION,STOP,RISK_REJECTED,false,true,0,1,true
RC_000206,GATEWAY_FAILURE,CREATE_PAYMENT_LINK,,false,true,2,5,true
RC_000207,BANK_DECLINE,STOP,RECOVERY_WINDOW_EXPIRED,false,false,0,1,true
RC_000208,BANK_DECLINE,CREATE_PAYMENT_LINK,,true,true,1,8,true
RC_000209,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,1,12,true
RC_000210,GATEWAY_FAILURE,CREATE_PAYMENT_LINK,,false,true,0,3,true
RC_000211,INVALID_PAYMENT_DETAILS,STOP,LOW_CONFIDENCE,false,true,0,1,true
RC_000212,INSUFFICIENT_FUNDS,CREATE_PAYMENT_LINK,,false,true,2,8,true
RC_000213,INSUFFICIENT_FUNDS,CREATE_PAYMENT_LINK,,true,true,0,20,true
RC_000214,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,1,5,true
RC_000215,INSUFFICIENT_FUNDS,CREATE_PAYMENT_LINK,,true,true,0,5,true
RC_000216,GATEWAY_FAILURE,STOP,RECOVERY_WINDOW_EXPIRED,false,false,0,8,true
RC_000217,BANK_DECLINE,STOP,RECOVERY_WINDOW_EXPIRED,false,false,0,5,true
RC_000218,RISK_REJECTION,STOP,RISK_REJECTED,false,false,2,1,true
RC_000219,GATEWAY_FAILURE,CREATE_PAYMENT_LINK,,false,true,0,8,true
RC_000220,INSUFFICIENT_FUNDS,STOP,RECOVERY_WINDOW_EXPIRED,false,false,0,5,true
RC_000221,GATEWAY_FAILURE,CREATE_PAYMENT_LINK,,false,true,0,8,true
RC_000222,AUTHENTICATION_FAILURE,CREATE_PAYMENT_LINK,,false,true,2,12,true
RC_000223,UNKNOWN,STOP,RECOVERY_WINDOW_EXPIRED,false,false,2,1,true
RC_000224,INSUFFICIENT_FUNDS,CREATE_PAYMENT_LINK,,true,true,1,1,true
RC_000225,INVALID_PAYMENT_DETAILS,STOP,LOW_CONFIDENCE,false,true,0,1,true
RC_000226,AUTHENTICATION_FAILURE,STOP,RECOVERY_WINDOW_EXPIRED,true,false,0,12,true
RC_000227,BANK_DECLINE,STOP,RECOVERY_WINDOW_EXPIRED,false,false,0,8,true
RC_000228,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,1,5,true
RC_000229,INSUFFICIENT_FUNDS,CREATE_PAYMENT_LINK,,false,true,0,0,true
RC_000230,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,2,2,true
RC_000231,INSUFFICIENT_FUNDS,CREATE_PAYMENT_LINK,,false,true,0,1,true
RC_000232,INVALID_PAYMENT_DETAILS,CREATE_PAYMENT_LINK,,false,true,0,8,true
RC_000233,INVALID_PAYMENT_DETAILS,STOP,MAX_RECOVERY_ATTEMPTS_REACHED,false,true,3,5,true
RC_000234,INVALID_PAYMENT_DETAILS,CREATE_PAYMENT_LINK,,true,true,0,20,true
RC_000235,BANK_DECLINE,STOP,RECOVERY_WINDOW_EXPIRED,true,false,1,5,true
RC_000236,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,0,2,true
RC_000237,INSUFFICIENT_FUNDS,CREATE_PAYMENT_LINK,,false,true,0,1,true
RC_000238,BANK_DECLINE,STOP,RECOVERY_WINDOW_EXPIRED,false,false,0,0,true
RC_000239,UNKNOWN,STOP,RECOVERY_WINDOW_EXPIRED,false,false,1,5,true
RC_000240,TIMEOUT,STOP,MAX_RECOVERY_ATTEMPTS_REACHED,false,true,3,5,true
RC_000241,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,1,8,true
RC_000242,BANK_DECLINE,STOP,RECOVERY_WINDOW_EXPIRED,false,false,2,30,true
RC_000243,INSUFFICIENT_FUNDS,CREATE_PAYMENT_LINK,,false,true,0,5,true
RC_000244,GATEWAY_FAILURE,CREATE_PAYMENT_LINK,,false,true,0,12,true
RC_000245,RISK_REJECTION,STOP,RISK_REJECTED,false,true,0,1,true
RC_000246,CUSTOMER_ABANDONMENT,STOP,MAX_RECOVERY_ATTEMPTS_REACHED,false,true,3,8,true
RC_000247,CUSTOMER_ABANDONMENT,CREATE_PAYMENT_LINK,,false,true,2,2,true
RC_000248,AUTHENTICATION_FAILURE,STOP,MAX_RECOVERY_ATTEMPTS_REACHED,true,true,3,12,true
RC_000249,CUSTOMER_ABANDONMENT,CREATE_PAYMENT_LINK,,true,true,0,2,true
RC_000250,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,2,12,true
RC_000251,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,0,2,true
RC_000252,AUTHENTICATION_FAILURE,CREATE_PAYMENT_LINK,,true,true,0,5,true
RC_000253,GATEWAY_FAILURE,CREATE_PAYMENT_LINK,,true,true,1,0,true
RC_000254,TIMEOUT,STOP,RECOVERY_WINDOW_EXPIRED,true,false,2,2,true
RC_000255,GATEWAY_FAILURE,STOP,MAX_RECOVERY_ATTEMPTS_REACHED,true,true,3,1,true
RC_000256,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,0,12,true
RC_000257,CUSTOMER_ABANDONMENT,CREATE_PAYMENT_LINK,,false,true,1,20,true
RC_000258,INVALID_PAYMENT_DETAILS,CREATE_PAYMENT_LINK,,true,true,0,5,true
RC_000259,RISK_REJECTION,STOP,RISK_REJECTED,true,true,2,12,true
RC_000260,INSUFFICIENT_FUNDS,STOP,MAX_RECOVERY_ATTEMPTS_REACHED,true,true,3,2,true
RC_000261,GATEWAY_FAILURE,STOP,RECOVERY_WINDOW_EXPIRED,false,false,0,1,true
RC_000262,GATEWAY_FAILURE,CREATE_PAYMENT_LINK,,false,true,1,3,true
RC_000263,TIMEOUT,CREATE_PAYMENT_LINK,,true,true,2,20,true
RC_000264,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,1,2,true
RC_000265,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,1,20,true
RC_000266,INSUFFICIENT_FUNDS,CREATE_PAYMENT_LINK,,false,true,0,2,true
RC_000267,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,2,2,true
RC_000268,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,2,3,true
RC_000269,AUTHENTICATION_FAILURE,CREATE_PAYMENT_LINK,,true,true,0,8,true
RC_000270,GATEWAY_FAILURE,CREATE_PAYMENT_LINK,,false,true,0,8,true
RC_000271,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,0,1,true
RC_000272,CUSTOMER_ABANDONMENT,CREATE_PAYMENT_LINK,,false,true,0,5,true
RC_000273,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,1,0,true
RC_000274,CUSTOMER_ABANDONMENT,CREATE_PAYMENT_LINK,,false,true,0,8,true
RC_000275,AUTHENTICATION_FAILURE,STOP,MAX_RECOVERY_ATTEMPTS_REACHED,false,true,3,3,true
RC_000276,INVALID_PAYMENT_DETAILS,STOP,RECOVERY_WINDOW_EXPIRED,false,false,0,12,true
RC_000277,AUTHENTICATION_FAILURE,CREATE_PAYMENT_LINK,,false,true,0,5,true
RC_000278,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,0,1,true
RC_000279,INVALID_PAYMENT_DETAILS,CREATE_PAYMENT_LINK,,false,true,0,3,true
RC_000280,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,2,3,true
RC_000281,CUSTOMER_ABANDONMENT,STOP,RECOVERY_WINDOW_EXPIRED,true,false,1,2,true
RC_000282,INVALID_PAYMENT_DETAILS,STOP,RECOVERY_WINDOW_EXPIRED,false,false,0,2,true
RC_000283,UNKNOWN,CREATE_PAYMENT_LINK,,false,true,0,5,true
RC_000284,INVALID_PAYMENT_DETAILS,CREATE_PAYMENT_LINK,,false,true,2,3,true
RC_000285,GATEWAY_FAILURE,CREATE_PAYMENT_LINK,,false,true,0,8,true
RC_000286,CUSTOMER_ABANDONMENT,CREATE_PAYMENT_LINK,,true,true,0,8,true
