case_id,payment_id,failure_category,revenue_at_risk,recoverability_status,recovery_probability,priority,recommended_action,preferred_method,reasoning,confidence,stop_condition,action_status,recovery_attempt_count,max_recovery_attempts,recovery_link_id,recovery_link_url,amount_recovered,created_at,updated_at
RC_000013,PAY_000013,INSUFFICIENT_FUNDS,149900,PENDING_ASSESSMENT,0.1,LOW,STOP,card,Synthetic scenario: insufficient funds.,0.8134,MAX_RECOVERY_ATTEMPTS_REACHED,NONE,3,3,,,0,2026-09-05T14:10:00+00:00,2026-09-05T14:10:00+00:00
RC_000014,PAY_000014,INSUFFICIENT_FUNDS,599900,PENDING_ASSESSMENT,0.1,HIGH,STOP,card,Synthetic scenario: insufficient funds.,0.7369,NO_CONTACT_METHOD,NONE,1,3,,,0,2026-09-05T15:33:00+00:00,2026-09-05T15:33:00+00:00
RC_000015,PAY_000015,BANK_DECLINE,99900,PENDING_ASSESSMENT,0.5,LOW,CREATE_PAYMENT_LINK,wallet,Synthetic scenario: bank decline.,0.7676,,NONE,0,3,,,0,2026-09-05T14:06:00+00:00,2026-09-05T14:06:00+00:00
RC_000016,PAY_000016,BANK_DECLINE,999900,PENDING_ASSESSMENT,0.5,HIGH,CREATE_PAYMENT_LINK,upi,Synthetic scenario: bank decline.,0.7822,,NONE,0,3,,,0,2026-09-05T08:01:00+00:00,2026-09-05T08:01:00+00:00
RC_000017,PAY_000017,CUSTOMER_ABANDONMENT,79900,PENDING_ASSESSMENT,0.1,LOW,STOP,wallet,Synthetic scenario: customer abandonment.,0.7326,RECOVERY_WINDOW_EXPIRED,NONE,2,3,,,0,2026-09-04T14:01:00+00:00,2026-09-04T14:01:00+00:00
RC_000018,PAY_000018,BANK_DECLINE,399900,PENDING_ASSESSMENT,0.55,MEDIUM,CREATE_PAYMENT_LINK,wallet,Synthetic scenario: bank decline.,0.7612,,NONE,0,3,,,0,2026-09-05T14:00:00+00:00,2026-09-05T14:00:00+00:00
RC_000019,PAY_000019,AUTHENTICATION_FAILURE,1499900,PENDING_ASSESSMENT,0.7,CRITICAL,CREATE_PAYMENT_LINK,wallet,Synthetic scenario: authentication failure.,0.8648,,NONE,0,3,,,0,2026-09-05T14:00:00+00:00,2026-09-05T14:00:00+00:00
RC_000020,PAY_000020,CUSTOMER_ABANDONMENT,499900,PENDING_ASSESSMENT,0.1,MEDIUM,STOP,card,Synthetic scenario: customer abandonment.,0.7371,RECOVERY_WINDOW_EXPIRED,NONE,0,3,,,0,2026-09-03T16:02:00+00:00,2026-09-03T16:02:00+00:00
RC_000021,PAY_000021,BANK_DECLINE,599900,PENDING_ASSESSMENT,0.5,HIGH,CREATE_PAYMENT_LINK,upi,Synthetic scenario: bank decline.,0.8507,,NONE,1,3,,,0,2026-09-05T15:39:00+00:00,2026-09-05T15:39:00+00:00
RC_000022,PAY_000022,INVALID_PAYMENT_DETAILS,199900,PENDING_ASSESSMENT,0.55,LOW,CREATE_PAYMENT_LINK,wallet,Synthetic scenario: invalid payment details.,0.7223,,NONE,1,3,,,0,2026-09-05T14:01:00+00:00,2026-09-05T14:01:00+00:00
RC_000023,PAY_000023,GATEWAY_FAILURE,249900,PENDING_ASSESSMENT,0.95,MEDIUM,CREATE_PAYMENT_LINK,upi,Synthetic scenario: gateway failure.,0.8959,,NONE,0,3,,,0,2026-09-05T08:08:00+00:00,2026-09-05T08:08:00+00:00
RC_000024,PAY_000024,INSUFFICIENT_FUNDS,999900,PENDING_ASSESSMENT,0.35,HIGH,CREATE_PAYMENT_LINK,upi,Synthetic scenario: insufficient funds.,0.7589,,NONE,2,3,,,0,2026-09-05T14:08:00+00:00,2026-09-05T14:08:00+00:00
RC_000025,PAY_000025,GATEWAY_FAILURE,399900,PENDING_ASSESSMENT,0.85,MEDIUM,CREATE_PAYMENT_LINK,netbanking,Synthetic scenario: gateway failure.,0.731,,NONE,0,3,,,0,2026-09-05T15:34:00+00:00,2026-09-05T15:34:00+00:00
RC_000026,PAY_000026,INSUFFICIENT_FUNDS,299900,PENDING_ASSESSMENT,0.35,MEDIUM,CREATE_PAYMENT_LINK,upi,Synthetic scenario: insufficient funds.,0.8564,,NONE,2,3,,,0,2026-09-05T15:32:00+00:00,2026-09-05T15:32:00+00:00
RC_000027,PAY_000027,GATEWAY_FAILURE,2499900,PENDING_ASSESSMENT,0.85,CRITICAL,CREATE_PAYMENT_LINK,upi,Synthetic scenario: gateway failure.,0.8084,,NONE,0,3,,,0,2026-09-05T14:01:00+00:00,2026-09-05T14:01:00+00:00
RC_000028,PAY_000028,RISK_REJECTION,99900,PENDING_ASSESSMENT,0.1,LOW,STOP,card,Synthetic scenario: risk rejection.,0.9156,RISK_REJECTED,NONE,1,3,,,0,2026-09-05T15:35:00+00:00,2026-09-05T15:35:00+00:00
RC_000029,PAY_000029,TIMEOUT,79900,PENDING_ASSESSMENT,0.1,LOW,STOP,wallet,Synthetic scenario: timeout.,0.7699,RECOVERY_WINDOW_EXPIRED,NONE,2,3,,,0,2026-09-04T14:03:00+00:00,2026-09-04T14:03:00+00:00
RC_000030,PAY_000030,INVALID_PAYMENT_DETAILS,299900,PENDING_ASSESSMENT,0.1,MEDIUM,STOP,netbanking,Synthetic scenario: invalid payment details.,0.8078,RECOVERY_WINDOW_EXPIRED,NONE,3,3,,,0,2026-09-04T14:04:00+00:00,2026-09-04T14:04:00+00:00
RC_000031,PAY_000031,BANK_DECLINE,199900,PENDING_ASSESSMENT,0.1,LOW,STOP,card,Synthetic scenario: bank decline.,0.8691,RECOVERY_WINDOW_EXPIRED,NONE,0,3,,,0,2026-09-03T16:01:00+00:00,2026-09-03T16:01:00+00:00
RC_000032,PAY_000032,AUTHENTICATION_FAILURE,599900,PENDING_ASSESSMENT,0.75,HIGH,CREATE_PAYMENT_LINK,card,Synthetic scenario: authentication failure.,0.9514,,NONE,0,3,,,0,2026-09-05T15:38:00+00:00,2026-09-05T15:38:00+00:00
RC_000033,PAY_000033,AUTHENTICATION_FAILURE,999900,PENDING_ASSESSMENT,0.65,HIGH,CREATE_PAYMENT_LINK,netbanking,Synthetic scenario: authentication failure.,0.8468,,NONE,2,3,,,0,2026-09-05T14:04:00+00:00,2026-09-05T14:04:00+00:00
RC_000034,PAY_000034,AUTHENTICATION_FAILURE,299900,PENDING_ASSESSMENT,0.65,MEDIUM,CREATE_PAYMENT_LINK,card,Synthetic scenario: authentication failure.,0.796,,NONE,0,3,,,0,2026-09-05T00:00:00+00:00,2026-09-05T00:00:00+00:00
RC_000035,PAY_000035,AUTHENTICATION_FAILURE,149900,PENDING_ASSESSMENT,0.1,LOW,STOP,wallet,Synthetic scenario: authentication failure.,0.8847,MAX_RECOVERY_ATTEMPTS_REACHED,NONE,3,3,,,0,2026-09-04T17:02:00+00:00,2026-09-04T17:02:00+00:00
RC_000036,PAY_000036,TIMEOUT,999900,PENDING_ASSESSMENT,0.1,HIGH,STOP,netbanking,Synthetic scenario: timeout.,0.7812,RECOVERY_WINDOW_EXPIRED,NONE,0,3,,,0,2026-09-04T14:00:00+00:00,2026-09-04T14:00:00+00:00
RC_000037,PAY_000037,INSUFFICIENT_FUNDS,1499900,PENDING_ASSESSMENT,0.35,CRITICAL,CREATE_PAYMENT_LINK,wallet,Synthetic scenario: insufficient funds.,0.8919,,NONE,0,3,,,0,2026-09-05T08:10:00+00:00,2026-09-05T08:10:00+00:00
RC_000038,PAY_000038,TIMEOUT,1499900,PENDING_ASSESSMENT,0.85,CRITICAL,CREATE_PAYMENT_LINK,wallet,Synthetic scenario: timeout.,0.8341,,NONE,0,3,,,0,2026-09-05T15:31:00+00:00,2026-09-05T15:31:00+00:00
RC_000039,PAY_000039,TIMEOUT,399900,PENDING_ASSESSMENT,0.1,MEDIUM,STOP,wallet,Synthetic scenario: timeout.,0.9059,RECOVERY_WINDOW_EXPIRED,NONE,0,3,,,0,2026-09-04T14:02:00+00:00,2026-09-04T14:02:00+00:00
RC_000040,PAY_000040,TIMEOUT,399900,PENDING_ASSESSMENT,0.75,MEDIUM,CREATE_PAYMENT_LINK,card,Synthetic scenario: timeout.,0.7879,,NONE,1,3,,,0,2026-09-05T08:03:00+00:00,2026-09-05T08:03:00+00:00
RC_000041,PAY_000041,BANK_DECLINE,149900,PENDING_ASSESSMENT,0.55,LOW,CREATE_PAYMENT_LINK,upi,Synthetic scenario: bank decline.,0.7356,,NONE,0,3,,,0,2026-09-05T08:06:00+00:00,2026-09-05T08:06:00+00:00
RC_000042,PAY_000042,CUSTOMER_ABANDONMENT,2499900,PENDING_ASSESSMENT,0.1,CRITICAL,STOP,wallet,Synthetic scenario: customer abandonment.,0.9084,MAX_RECOVERY_ATTEMPTS_REACHED,NONE,3,3,,,0,2026-09-05T08:04:00+00:00,2026-09-05T08:04:00+00:00
RC_000043,PAY_000043,TIMEOUT,149900,PENDING_ASSESSMENT,0.85,LOW,CREATE_PAYMENT_LINK,wallet,Synthetic scenario: timeout.,0.8172,,NONE,0,3,,,0,2026-09-05T14:00:00+00:00,2026-09-05T14:00:00+00:00
RC_000044,PAY_000044,BANK_DECLINE,599900,PENDING_ASSESSMENT,0.55,HIGH,CREATE_PAYMENT_LINK,upi,Synthetic scenario: bank decline.,0.8807,,NONE,1,3,,,0,2026-09-05T00:01:00+00:00,2026-09-05T00:01:00+00:00
RC_000045,PAY_000045,AUTHENTICATION_FAILURE,249900,PENDING_ASSESSMENT,0.1,MEDIUM,STOP,wallet,Synthetic scenario: authentication failure.,0.7831,MAX_RECOVERY_ATTEMPTS_REACHED,NONE,3,3,,,0,2026-09-05T14:06:00+00:00,2026-09-05T14:06:00+00:00
RC_000046,PAY_000046,BANK_DECLINE,79900,PENDING_ASSESSMENT,0.1,LOW,STOP,upi,Synthetic scenario: bank decline.,0.8753,RECOVERY_WINDOW_EXPIRED,NONE,0,3,,,0,2026-09-03T16:00:00+00:00,2026-09-03T16:00:00+00:00
RC_000047,PAY_000047,INVALID_PAYMENT_DETAILS,2499900,PENDING_ASSESSMENT,0.1,CRITICAL,STOP,netbanking,Synthetic scenario: invalid payment details.,0.9144,MAX_RECOVERY_ATTEMPTS_REACHED,NONE,3,3,,,0,2026-09-05T00:01:00+00:00,2026-09-05T00:01:00+00:00
RC_000048,PAY_000048,INVALID_PAYMENT_DETAILS,299900,PENDING_ASSESSMENT,0.1,MEDIUM,STOP,wallet,Synthetic scenario: invalid payment details.,0.8927,RECOVERY_WINDOW_EXPIRED,NONE,0,3,,,0,2026-09-03T16:09:00+00:00,2026-09-03T16:09:00+00:00
RC_000049,PAY_000049,TIMEOUT,2499900,PENDING_ASSESSMENT,0.75,CRITICAL,CREATE_PAYMENT_LINK,upi,Synthetic scenario: timeout.,0.8465,,NONE,1,3,,,0,2026-09-05T08:01:00+00:00,2026-09-05T08:01:00+00:00
RC_000050,PAY_000050,GATEWAY_FAILURE,399900,PENDING_ASSESSMENT,0.85,MEDIUM,CREATE_PAYMENT_LINK,card,Synthetic scenario: gateway failure.,0.7875,,NONE,0,3,,,0,2026-09-05T14:10:00+00:00,2026-09-05T14:10:00+00:00
RC_000051,PAY_000051,INSUFFICIENT_FUNDS,249900,PENDING_ASSESSMENT,0.45,MEDIUM,CREATE_PAYMENT_LINK,card,Synthetic scenario: insufficient funds.,0.8625,,NONE,0,3,,,0,2026-09-05T14:07:00+00:00,2026-09-05T14:07:00+00:00
RC_000052,PAY_000052,BANK_DECLINE,2499900,PENDING_ASSESSMENT,0.45,CRITICAL,CREATE_PAYMENT_LINK,netbanking,Synthetic scenario: bank decline.,0.8589,,NONE,1,3,,,0,2026-09-05T14:04:00+00:00,2026-09-05T14:04:00+00:00
RC_000053,PAY_000053,TIMEOUT,1499900,PENDING_ASSESSMENT,0.85,CRITICAL,CREATE_PAYMENT_LINK,wallet,Synthetic scenario: timeout.,0.7433,,NONE,0,3,,,0,2026-09-05T00:00:00+00:00,2026-09-05T00:00:00+00:00
RC_000054,PAY_000054,INSUFFICIENT_FUNDS,249900,PENDING_ASSESSMENT,0.1,MEDIUM,STOP,wallet,Synthetic scenario: insufficient funds.,0.8957,RECOVERY_WINDOW_EXPIRED,NONE,0,3,,,0,2026-09-03T16:05:00+00:00,2026-09-03T16:05:00+00:00
RC_000055,PAY_000055,TIMEOUT,2499900,PENDING_ASSESSMENT,0.75,CRITICAL,CREATE_PAYMENT_LINK,card,Synthetic scenario: timeout.,0.9642,,NONE,0,3,,,0,2026-09-05T14:09:00+00:00,2026-09-05T14:09:00+00:00
RC_000056,PAY_000056,GATEWAY_FAILURE,199900,PENDING_ASSESSMENT,0.85,LOW,CREATE_PAYMENT_LINK,upi,Synthetic scenario: gateway failure.,0.8583,,NONE,0,3,,,0,2026-09-05T08:00:00+00:00,2026-09-05T08:00:00+00:00
RC_000057,PAY_000057,BANK_DECLINE,199900,PENDING_ASSESSMENT,0.55,LOW,CREATE_PAYMENT_LINK,wallet,Synthetic scenario: bank decline.,0.7831,,NONE,0,3,,,0,2026-09-05T08:00:00+00:00,2026-09-05T08:00:00+00:00
RC_000058,PAY_000058,INSUFFICIENT_FUNDS,49900,PENDING_ASSESSMENT,0.1,LOW,STOP,card,Synthetic scenario: insufficient funds.,0.9685,RECOVERY_WINDOW_EXPIRED,NONE,3,3,,,0,2026-09-04T14:01:00+00:00,2026-09-04T14:01:00+00:00
RC_000059,PAY_000059,TIMEOUT,299900,PENDING_ASSESSMENT,0.1,MEDIUM,STOP,wallet,Synthetic scenario: timeout.,0.9675,RECOVERY_WINDOW_EXPIRED,NONE,0,3,,,0,2026-09-04T14:09:00+00:00,2026-09-04T14:09:00+00:00
RC_000060,PAY_000060,TIMEOUT,999900,PENDING_ASSESSMENT,0.75,HIGH,CREATE_PAYMENT_LINK,card,Synthetic scenario: timeout.,0.858,,NONE,0,3,,,0,2026-09-05T00:02:00+00:00,2026-09-05T00:02:00+00:00
RC_000061,PAY_000061,BANK_DECLINE,1499900,PENDING_ASSESSMENT,0.1,CRITICAL,STOP,netbanking,Synthetic scenario: bank decline.,0.951,RECOVERY_WINDOW_EXPIRED,NONE,0,3,,,0,2026-09-04T14:03:00+00:00,2026-09-04T14:03:00+00:00
RC_000062,PAY_000062,BANK_DECLINE,149900,PENDING_ASSESSMENT,0.1,LOW,STOP,card,Synthetic scenario: bank decline.,0.9182,RECOVERY_WINDOW_EXPIRED,NONE,0,3,,,0,2026-09-04T14:02:00+00:00,2026-09-04T14:02:00+00:00
RC_000063,PAY_000063,INVALID_PAYMENT_DETAILS,1499900,PENDING_ASSESSMENT,0.1,CRITICAL,STOP,wallet,Synthetic scenario: invalid payment details.,0.8294,RECOVERY_WINDOW_EXPIRED,NONE,0,3,,,0,2026-09-03T16:07:00+00:00,2026-09-03T16:07:00+00:00
RC_000064,PAY_000064,BANK_DECLINE,999900,PENDING_ASSESSMENT,0.1,HIGH,STOP,upi,Synthetic scenario: bank decline.,0.8376,RECOVERY_WINDOW_EXPIRED,NONE,0,3,,,0,2026-09-04T14:02:00+00:00,2026-09-04T14:02:00+00:00
RC_000065,PAY_000065,TIMEOUT,79900,PENDING_ASSESSMENT,0.75,LOW,CREATE_PAYMENT_LINK,wallet,Synthetic scenario: timeout.,0.7461,,NONE,0,3,,,0,2026-09-05T14:10:00+00:00,2026-09-05T14:10:00+00:00
RC_000066,PAY_000066,TIMEOUT,499900,PENDING_ASSESSMENT,0.7,MEDIUM,CREATE_PAYMENT_LINK,upi,Synthetic scenario: timeout.,0.9625,,NONE,0,3,,,0,2026-09-05T15:31:00+00:00,2026-09-05T15:31:00+00:00
RC_000067,PAY_000067,AUTHENTICATION_FAILURE,49900,PENDING_ASSESSMENT,0.75,LOW,CREATE_PAYMENT_LINK,card,Synthetic scenario: authentication failure.,0.8305,,NONE,1,3,,,0,2026-09-05T08:10:00+00:00,2026-09-05T08:10:00+00:00
RC_000068,PAY_000068,INVALID_PAYMENT_DETAILS,79900,PENDING_ASSESSMENT,0.5,LOW,CREATE_PAYMENT_LINK,upi,Synthetic scenario: invalid payment details.,0.7977,,NONE,0,3,,,0,2026-09-05T00:02:00+00:00,2026-09-05T00:02:00+00:00
RC_000069,PAY_000069,AUTHENTICATION_FAILURE,79900,PENDING_ASSESSMENT,0.1,LOW,STOP,card,Synthetic scenario: authentication failure.,0.8239,RECOVERY_WINDOW_EXPIRED,NONE,0,3,,,0,2026-09-03T16:04:00+00:00,2026-09-03T16:04:00+00:00
RC_000070,PAY_000070,RISK_REJECTION,499900,PENDING_ASSESSMENT,0.05,MEDIUM,STOP,card,Synthetic scenario: risk rejection.,0.805,RISK_REJECTED,NONE,2,3,,,0,2026-09-05T14:06:00+00:00,2026-09-05T14:06:00+00:00
RC_000071,PAY_000071,INSUFFICIENT_FUNDS,999900,PENDING_ASSESSMENT,0.1,HIGH,STOP,wallet,Synthetic scenario: insufficient funds.,0.8063,RECOVERY_WINDOW_EXPIRED,NONE,0,3,,,0,2026-09-04T14:07:00+00:00,2026-09-04T14:07:00+00:00
RC_000072,PAY_000072,UNKNOWN,149900,PENDING_ASSESSMENT,0.35,LOW,CREATE_PAYMENT_LINK,wallet,Synthetic scenario: unknown.,0.7995,,NONE,1,3,,,0,2026-09-05T14:00:00+00:00,2026-09-05T14:00:00+00:00
RC_000073,PAY_000073,CUSTOMER_ABANDONMENT,99900,PENDING_ASSESSMENT,0.1,LOW,STOP,wallet,Synthetic scenario: customer abandonment.,0.803,RECOVERY_WINDOW_EXPIRED,NONE,0,3,,,0,2026-09-03T16:09:00+00:00,2026-09-03T16:09:00+00:00
RC_000074,PAY_000074,TIMEOUT,299900,PENDING_ASSESSMENT,0.1,MEDIUM,STOP,card,Synthetic scenario: timeout.,0.8758,MAX_RECOVERY_ATTEMPTS_REACHED,NONE,3,3,,,0,2026-09-05T08:05:00+00:00,2026-09-05T08:05:00+00:00
RC_000075,PAY_000075,AUTHENTICATION_FAILURE,249900,PENDING_ASSESSMENT,0.1,MEDIUM,STOP,wallet,Synthetic scenario: authentication failure.,0.7787,RECOVERY_WINDOW_EXPIRED,NONE,0,3,,,0,2026-09-04T14:01:00+00:00,2026-09-04T14:01:00+00:00
RC_000076,PAY_000076,BANK_DECLINE,999900,PENDING_ASSESSMENT,0.55,HIGH,CREATE_PAYMENT_LINK,upi,Synthetic scenario: bank decline.,0.7315,,NONE,0,3,,,0,2026-09-05T14:00:00+00:00,2026-09-05T14:00:00+00:00
RC_000077,PAY_000077,AUTHENTICATION_FAILURE,999900,PENDING_ASSESSMENT,0.65,HIGH,CREATE_PAYMENT_LINK,card,Synthetic scenario: authentication failure.,0.8749,,NONE,1,3,,,0,2026-09-05T14:06:00+00:00,2026-09-05T14:06:00+00:00
RC_000078,PAY_000078,AUTHENTICATION_FAILURE,999900,PENDING_ASSESSMENT,0.1,HIGH,STOP,upi,Synthetic scenario: authentication failure.,0.7385,RECOVERY_WINDOW_EXPIRED,NONE,1,3,,,0,2026-09-04T14:02:00+00:00,2026-09-04T14:02:00+00:00
RC_000079,PAY_000079,AUTHENTICATION_FAILURE,199900,PENDING_ASSESSMENT,0.1,LOW,STOP,card,Synthetic scenario: authentication failure.,0.863,RECOVERY_WINDOW_EXPIRED,NONE,0,3,,,0,2026-09-04T14:06:00+00:00,2026-09-04T14:06:00+00:00
RC_000080,PAY_000080,AUTHENTICATION_FAILURE,49900,PENDING_ASSESSMENT,0.55,LOW,CREATE_PAYMENT_LINK,upi,Synthetic scenario: authentication failure.,0.9139,,NONE,2,3,,,0,2026-09-04T17:04:00+00:00,2026-09-04T17:04:00+00:00
RC_000081,PAY_000081,INVALID_PAYMENT_DETAILS,1499900,PENDING_ASSESSMENT,0.55,CRITICAL,CREATE_PAYMENT_LINK,card,Synthetic scenario: invalid payment details.,0.7972,,NONE,1,3,,,0,2026-09-05T15:30:00+00:00,2026-09-05T15:30:00+00:00
RC_000082,PAY_000082,GATEWAY_FAILURE,299900,PENDING_ASSESSMENT,0.85,MEDIUM,CREATE_PAYMENT_LINK,card,Synthetic scenario: gateway failure.,0.8527,,NONE,0,3,,,0,2026-09-05T15:35:00+00:00,2026-09-05T15:35:00+00:00
RC_000083,PAY_000083,TIMEOUT,1499900,PENDING_ASSESSMENT,0.85,CRITICAL,CREATE_PAYMENT_LINK,netbanking,Synthetic scenario: timeout.,0.935,,NONE,0,3,,,0,2026-09-05T08:03:00+00:00,2026-09-05T08:03:00+00:00
RC_000084,PAY_000084,BANK_DECLINE,299900,PENDING_ASSESSMENT,0.55,MEDIUM,CREATE_PAYMENT_LINK,upi,Synthetic scenario: bank decline.,0.9073,,NONE,0,3,,,0,2026-09-05T08:10:00+00:00,2026-09-05T08:10:00+00:00
RC_000085,PAY_000085,BANK_DECLINE,49900,PENDING_ASSESSMENT,0.45,LOW,CREATE_PAYMENT_LINK,netbanking,Synthetic scenario: bank decline.,0.9473,,NONE,0,3,,,0,2026-09-05T14:07:00+00:00,2026-09-05T14:07:00+00:00
RC_000086,PAY_000086,UNKNOWN,79900,PENDING_ASSESSMENT,0.1,LOW,STOP,upi,Synthetic scenario: unknown.,0.8128,RECOVERY_WINDOW_EXPIRED,NONE,0,3,,,0,2026-09-04T14:07:00+00:00,2026-09-04T14:07:00+00:00
RC_000087,PAY_000087,CUSTOMER_ABANDONMENT,999900,PENDING_ASSESSMENT,0.1,HIGH,STOP,upi,Synthetic scenario: customer abandonment.,0.7282,MAX_RECOVERY_ATTEMPTS_REACHED,NONE,3,3,,,0,2026-09-05T00:04:00+00:00,2026-09-05T00:04:00+00:00
RC_000088,PAY_000088,UNKNOWN,249900,PENDING_ASSESSMENT,0.25,MEDIUM,CREATE_PAYMENT_LINK,netbanking,Synthetic scenario: unknown.,0.9573,,NONE,0,3,,,0,2026-09-05T08:01:00+00:00,2026-09-05T08:01:00+00:00
RC_000089,PAY_000089,BANK_DECLINE,2499900,PENDING_ASSESSMENT,0.1,CRITICAL,STOP,netbanking,Synthetic scenario: bank decline.,0.7372,RECOVERY_WINDOW_EXPIRED,NONE,2,3,,,0,2026-09-03T16:03:00+00:00,2026-09-03T16:03:00+00:00
RC_000090,PAY_000090,TIMEOUT,2499900,PENDING_ASSESSMENT,0.1,CRITICAL,STOP,upi,Synthetic scenario: timeout.,0.8551,RECOVERY_WINDOW_EXPIRED,NONE,0,3,,,0,2026-09-04T14:02:00+00:00,2026-09-04T14:02:00+00:00
RC_000091,PAY_000091,TIMEOUT,149900,PENDING_ASSESSMENT,0.1,LOW,STOP,netbanking,Synthetic scenario: timeout.,0.8515,NO_CONTACT_METHOD,NONE,0,3,,,0,2026-09-05T14:06:00+00:00,2026-09-05T14:06:00+00:00
RC_000092,PAY_000092,AUTHENTICATION_FAILURE,149900,PENDING_ASSESSMENT,0.55,LOW,CREATE_PAYMENT_LINK,upi,Synthetic scenario: authentication failure.,0.7954,,NONE,2,3,,,0,2026-09-04T17:08:00+00:00,2026-09-04T17:08:00+00:00
RC_000093,PAY_000093,INVALID_PAYMENT_DETAILS,399900,PENDING_ASSESSMENT,0.65,MEDIUM,CREATE_PAYMENT_LINK,wallet,Synthetic scenario: invalid payment details.,0.7571,,NONE,0,3,,,0,2026-09-05T15:39:00+00:00,2026-09-05T15:39:00+00:00
RC_000094,PAY_000094,UNKNOWN,499900,PENDING_ASSESSMENT,0.2,MEDIUM,CREATE_PAYMENT_LINK,netbanking,Synthetic scenario: unknown.,0.9332,,NONE,0,3,,,0,2026-09-05T08:01:00+00:00,2026-09-05T08:01:00+00:00
RC_000095,PAY_000095,CUSTOMER_ABANDONMENT,299900,PENDING_ASSESSMENT,0.75,MEDIUM,CREATE_PAYMENT_LINK,netbanking,Synthetic scenario: customer abandonment.,0.8267,,NONE,1,3,,,0,2026-09-05T08:05:00+00:00,2026-09-05T08:05:00+00:00
RC_000096,PAY_000096,BANK_DECLINE,79900,PENDING_ASSESSMENT,0.45,LOW,CREATE_PAYMENT_LINK,upi,Synthetic scenario: bank decline.,0.8591,,NONE,1,3,,,0,2026-09-05T15:32:00+00:00,2026-09-05T15:32:00+00:00
